,description,indonesian_description,hs_code,id_,parent_id,depth,is_leaf
238,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),Salmon Atlantik (Salmo salar) dan salmon Danube (Hucho hucho),0302.14.00,239,236,2,True
239,Other,Lain-lain,0302.19.00,240,236,2,True
240,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0302.91 to 0302.99","Ikan pipih (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae dan Citharidae), tidak termasuk sisa ikan yang dapat dimakan dari subpos 0302.91 sampai dengan 0302.99",,241,235,1,False
241,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglosus, Hippoglossus stenolepis)",0302.21.00,242,241,2,True
242,Plaice (Pleuronectes platessa),Plaice (Pleuronectes platessa),0302.22.00,243,241,2,True
243,Sole (Solea spp.),Sole (Solea spp.),0302.23.00,244,241,2,True
244,Turbots (Psetta maxima),Turbots (Psetta maxima),0302.24.00,245,241,2,True
245,Other,Lain-lain,0302.29.00,246,241,2,True
246,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302.91 to 0302.99","Tuna (dari genus Thunnus), cakalang atau stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), tidak termasuk sisa ikan yang dapat dimakan dari subpos 0302.91 sampai dengan 0302.99",,247,235,1,False
247,Albacore or longfinned tunas (Thunnus alalunga),Albacore atau tuna sirip panjang (Thunnus alalunga),0302.31.00,248,247,2,True
248,Yellowfin tunas (Thunnus albacares),Tuna sirip kuning (Thunnus albacares),0302.32.00,249,247,2,True
249,Skipjack or stripe-bellied bonito,Cakalang atau stripe-bellied bonito,0302.33.00,250,247,2,True
250,Bigeye tunas (Thunnus obesus),Tuna mata besar (Thunnus obesus),0302.34.00,251,247,2,True
251,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)","Tuna sirip biru Atlantik dan Pasifik (Thunnus thynnus, Thunnus orientalis)",0302.35.00,252,247,2,True
252,Southern bluefin tunas (Thunnus maccoyii),Tuna sirip biru Selatan (Thunnus maccoyii),0302.36.00,253,247,2,True
253,Other,Lain-lain,0302.39.00,254,247,2,True
254,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302.91 to 0302.99","Herring (Clupea harengus, Clupea pallasii), teri (Engraulis spp.), sarden (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling atau sprats (Sprattus sprattus), makarel (Scomber scombrus, Scomber australasicus, Scomber japonicus), makarel Indian (Rastrelliger spp.), seerfishes (Scomberomorus spp.), makarel jack dan makarel kuda (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), bawal putih (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), todak (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlin, ikan layar, spearfish (Istiophoridae), tidak termasuk sisa ikan yang dapat dimakan dari subpos 0302.91 sampai dengan 0302.99",,255,235,1,False
255,"Herrings (Clupea harengus, Clupea pallasii)","Herring (Clupea harengus, Clupea pallasii)",0302.41.00,256,255,2,True
256,Anchovies (Engraulis spp.),Teri (Engraulis spp.),0302.42.00,257,255,2,True
257,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)","Sarden (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling atau sprats (Sprattus sprattus)",0302.43.00,258,255,2,True
258,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)","Makarel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0302.44.00,259,255,2,True
259,Jack and horse mackerel (Trachurus spp.),Makarel jack dan makarel kuda (Trachurus spp.),0302.45.00,260,255,2,True
260,Cobia (Rachycentron canadum),Cobia (Rachycentron canadum),0302.46.00,261,255,2,True
261,Swordfish (Xiphias gladius),Todak (Xiphias gladius),0302.47.00,262,255,2,True
262,Other,Lain-lain,0302.49.00,263,255,2,True
263,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302.91 to 0302.99","Ikan dari keluarga Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae dan Muraenolepididae, tidak termasuk sisa ikan yang dapat dimakan dari subpos 0302.91 sampai dengan 0302.99",,264,235,1,False
264,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",0302.51.00,265,264,2,True
265,Haddock (Melanogrammus aeglefinus),Haddock (Melanogrammus aeglefinus),0302.52.00,266,264,2,True
266,Coalfish (Pollachius virens),Coalfish (Pollachius virens),0302.53.00,267,264,2,True
267,"Hake (Merluccius spp., Urophycis spp.)","Hake (Merluccius spp., Urophycis spp.)",0302.54.00,268,264,2,True
268,Alaska Pollack (Theragra chalcogramma),Alaska Pollack (Theragra chalcogramma),0302.55.00,269,264,2,True
269,"Blue whitings (Micromesistius poutassou, Micromesistius australis)","Blue whitings (Micromesistius poutassou, Micromesistius australis)",0302.56.00,270,264,2,True
270,Other,Lain-lain,0302.59.00,271,264,2,True
